村里有一无赖，平时喜欢拈花惹草11，无所事事12，曾多次上门向两家求亲，却都被拒绝了。	cūnlǐyǒuyīwúlài，píngshíxǐhuānniánhuārěcǎo11，wúsuǒshìshì12，céngduōcìshàngménxiàngliǎngjiāqíuqīn，quèdūbèijùjuéle。	The village has a rogue, I like sleeping around 11, 12 doing nothing, has repeatedly come Qiuqin to two, but had been refused.
他怀恨在心，如今听说了范喜良的事儿，就偷偷地到官府去告了密。	tāhuáihènzàixīn，rújīntīngshuōlefànxǐliángdeshìér，jìutōutōudìdàoguānfǔqùgàolemì。	He grudge, now heard Fan Xiliang thing, secretly went to the official report of the secret.
这时两家还蒙在鼓里13呢，他们刚刚新婚三天，仍沉浸在喜悦之中。	zhèshíliǎngjiāhuánméngzàigǔlǐ13ní，tāmengānggāngxīnhūnsāntiān，réngchénjìnzàixǐyuèzhīzhōng。	Then two 13 it also kept in the dark, they married just three days, still immersed in the joy.
忽然，咣的一声，大门被撞开了，一群官兵冲进来，不由分说，把范喜良绑起来就要带走。	hūrán，guāngdeyīshēng，dàménbèizhuàngkāile，yīqúnguānbīngchōngjìnlái，bùyóufēnshuō，bǎfànxǐliángbǎngqǐláijìuyàodàizǒu。	Suddenly, bang, the door was open, and a group of officers and soldiers rushed in, without any explanation, the Fan Xiliang tied up going away.
孟姜女见状急忙扑上去，却被官兵一把推开，只能眼睁睁地看着自己的夫君被带走了。	mèngjiāngnv̌jiànzhuàngjímángpūshàngqù，quèbèiguānbīngyībǎtūikāi，zhǐnéngyǎnzhēngzhēngdìkànzháozìjǐdefūjūnbèidàizǒule。	Meng Jiang rushed hastily jumped, but was a push officers and soldiers, could only watch their husband was taken away.
转眼一年过去,快到寒冬，范喜良却杳无音信。	zhuǎnyǎnyīniánguòqù,kuàidàohándōng，fànxǐliángquèyǎowúyīnxìn。	A year in the past, winter is coming, Fan Xiliang but no news.
孟姜女日夜思君，茶不思，饭不想，忧伤不已。	mèngjiāngnv̌rìyèsījūn，chábùsī，fànbùxiǎng，yōushāngbùyǐ。	Si Jun Meng Jiang day and night, tea do not think, Rice did not want, sad endless.
跟两家老人商量后,决定去找丈夫,发誓找不到他绝不回家。	gēnliǎngjiālǎorénshāngliànghòu,juédìngqùzhǎozhàngfū,fāshìzhǎobùdàotājuébùhúijiā。	After consultation with the two old people, he decided to go to her husband, could not find him swear never to go home.
她带上干粮和给丈夫亲手缝制的御寒衣服上路了。	tādàishànggānliánghégěizhàngfūqīnshǒuféngzhìdeyùhányīfúshànglùle。	She and her husband put on dry food handmade warm clothing hit the road.
一路上, 风吹雨淋，日晒风寒，饥寒交迫14,经过千难万险,终于找到了修长城的地方。	yīlùshàng, fēngchūiyǔlín，rìshàifēnghán，jīhánjiāopò14,jīngguòqiānnánwànxiǎn,zhōngyúzhǎodàolexīuchángchéngdedìfāng。	Along the way, wind and rain, sun and cold, hungry and cold 14 through hardships, finally found a place to repair the Great Wall.
可长城下民夫数以万计，到哪里去找呢？	kěchángchéngxiàmínfūshùyǐwànjì，dàonǎlǐqùzhǎoní？	Under the Great Wall can be tens of thousands of porters, where to find it?
她逢人便打听，一位好心的民夫告诉她，范喜良早已劳累致死，被埋在长城下,尸骨都找不到了。	tāféngrénbiàndǎtīng，yīwèihǎoxīndemínfūgàosùtā，fànxǐliángzǎoyǐláolèizhìsǐ，bèimáizàichángchéngxià,shīgǔdūzhǎobùdàole。	Telling everyone she inquired, a kind of porters told her Fan Xiliang already tired to death, buried under the Great Wall, the bones were found.
这一消息如同晴天霹雳15,孟姜女顿时就伤心地恸哭16起来。	zhèyīxiāoxīrútóngqíngtiānpīlì15,mèngjiāngnv̌dùnshíjìushāngxīndìtòngkū16qǐlái。	This message like a lightning bolt 15, Mengjiangnv suddenly sad wail 16 together.
泪如泉,声如雷,哭得惊天动地,天昏地暗,哭到哪里长城塌到哪里,眼看着一段段地倒塌,足有八百里长。	lèirúquán,shēngrúléi,kūdéliángtiāndòngdì,tiānhūndìàn,kūdàonǎlǐchángchéngtādàonǎlǐ,yǎnkànzháoyīduànduàndìdǎotā,zúyǒubābǎilǐcháng。	Burst into spring, the sound of thunder, crying earth-shattering, incredibly hard, crying to go where the Great Wall to collapse, seeing the collapse of a section of land, there are eight hundred feet long.
这下可急坏了工程总管,他急忙去报告正来此巡查工程进展的秦始皇17。	zhèxiàkějíhuàilegōngchéngzǒngguǎn,tājímángqùbàogàozhèngláicǐxúnchágōngchéngjìnzhǎndeqínshǐhuáng17。	Oh, anxious engineering mains, he hurried to report positively to inspect the progress of this project Qin Shi Huang 17.
秦始皇赶忙去见孟姜女寻问根由。	qínshǐhuánggǎnmángqùjiànmèngjiāngnv̌xúnwèngēnyóu。	Qin Shi Huang quickly see a fairy asked to find the root causes.
谁知他一见倾心18,被孟姜女的美貌给迷住了,就想封她为正宫娘娘。	shúizhītāyījiànqīngxīn18,bèimèngjiāngnv̌deměimàogěimízhùle,jìuxiǎngfēngtāwèizhènggōngniángniáng。	Surprisingly, he at first sight 18, is a fairy beauty bewitched, wanted to seal her palace empress. 
孟姜女虽然满腔怒火19,但还是压住心头仇恨。	mèngjiāngnv̌sūiránmǎnqiāngnùhuǒ19,dànhuánshìyāzhùxīntóuchóuhèn。	Although 19 Mengjiangnv filled with anger, but still suppress the hearts of hatred.
她灵机一动20,将计就计21要秦始皇答应她三个条件,才愿意顺从他：一要找到她丈夫的尸体；二要为他举行国葬；三要秦始皇披麻戴孝22、打幡23送葬。	tālíngjīyīdòng20,jiāngjìjìujì21yàoqínshǐhuángdáyìngtāsāngètiáojiàn,cáiyuànyìshùncóngtā：yīyàozhǎodàotāzhàngfūdeshītǐ；èryàowèitājǔxíngguózàng；sānyàoqínshǐhuángpīmádàixiào22、dǎfān23sòngzàng。	She had an idea 20, 21 will be counted on to Qin Shi Huang promised her three conditions before they are willing to obey him: First, we must find her husband's body; Second, we must hold a state funeral for him; third, Qin Shi Huang Pimadaixiao 22, hit 23 streamers funeral.
秦始皇虽不愿意但他一心想得到孟姜女，便答应了。	qínshǐhuángsūibùyuànyìdàntāyīxīnxiǎngdédàomèngjiāngnv̌，biàndáyìngle。	Qin Shi Huang, although he bent but do not want to get a fairy, so I agreed.
祭毕，秦始皇便要孟姜女随他回宫。	jìbì，qínshǐhuángbiànyàomèngjiāngnv̌súitāhúigōng。	Offering complete, Meng Jiang Qin Shi Huang will have to follow him back to the palace.
孟姜女冷笑一声道：你昏庸残暴，害尽天下黎民，如今又害死我夫，我岂能做你的娘娘，休可妄想！	mèngjiāngnv̌lěngxiàoyīshēngdào：nǐhūnyōngcánbào，hàijǐntiānxiàlímín，rújīnyòuhàisǐwǒfū，wǒqǐnéngzuònǐdeniángniáng，xīukěwàngxiǎng！	Mengjiangnv sneer: You stupid brutality, harm Lebanon to make the world, and now they killed my husband, how can I be your empress, Hugh can delusional!
说完便怀抱丈夫遗骨，跳入了波涛汹涌的大海。	shuōwánbiànhuáibàozhàngfūyígǔ，tiàorùlebōtāoxiōngyǒngdedàhǎi。	Then they embrace the remains of her husband, she jumped into the choppy sea.
一时间，浪潮滚滚，好像在为她悲叹。	yīshíjiān，làngcháogǔngǔn，hǎoxiàngzàiwèitābēitàn。	For a time, rolling wave, as if in her lament.
孟姜女万里寻夫送寒衣,哭倒长城八百里的故事家喻户晓24,流传至今。	mèngjiāngnv̌wànlǐxúnfūsònghányī,kūdǎochángchéngbābǎilǐdegùshìjiāyùhùxiǎo24,líuchuánzhìjīn。	Meng Jiang looks for her husband Miles warm clothing, crying on the Great Wall of eight hundred well-known story of 24, has spread.
河北省秦皇岛山海关被后人认为是孟姜女哭长城之地。	héběishěngqínhuángdǎoshānhǎiguānbèihòurénrènwèishìmèngjiāngnv̌kūchángchéngzhīdì。	Hebei Qinhuangdao Shanhaiguan was later considered to be a fairy cry Great Wall of the land.
人们为了纪念她, 给她建了庙,取名为孟姜女庙。	rénmenwèilejìniàntā, gěitājiànlemiào,qǔmíngwèimèngjiāngnv̌miào。	To commemorate her, give her to build a temple, named a fairy temple.
殿门两侧还有一副非常有名的对联：海水朝朝朝朝朝朝朝落，浮云长长长长长长长消25。	diànménliǎngcèhuányǒuyīfùfēichángyǒumíngdedùilián：hǎishǔizhāozhāozhāozhāozhāozhāozhāoluò，fúyúnchángchángchángchángchángchángchángxiāo25。	Both doors of the house there is a very famous couplet: Zhao Zhao Zhao Zhao Zhao Zhao toward the water drop, long long long long elimination clouds 25.
相传是南宋状元26王十朋所撰。	xiāngchuánshìnánsòngzhuàngyuán26wángshípéngsuǒzhuàn。	Legend has it that the Southern Song Dynasty scholar Wang Shipeng 26 relegated.
它利用中国汉字一字多音，一字多义的特点，叠音叠义，描绘了海潮涨落，浮云长消的自然景象，显示了自然界变幻多姿的景色，读后使人产生无限遐想：是自然？	tālìyòngzhōngguóhànzìyīzìduōyīn，yīzìduōyìdetèdiǎn，diéyīndiéyì，miáohùilehǎicháozhǎngluò，fúyúnchángxiāodezìránjǐngxiàng，xiǎnshìlezìránjièbiànhuànduōzīdejǐngsè，dúhòushǐrénchǎnshēngwúxiànxiáxiǎng：shìzìrán？	It uses Chinese characters polyphonic word, the word ambiguous characteristics of sound stack stacked meaning, depicting tidal fluctuations, clouds Dissipation of natural scenes, showing the nature kaleidoscope of scenery, reading people unlimited reverie : is natural?
或亦是人生！	huòyìshìrénshēng！	Or also a life!
这个对联的写法和读法都很有意思，具体请参见文本。	zhègèdùiliándexiěfǎhédúfǎdūhěnyǒuyìsī，jùtǐqǐngcānjiànwénběn。	This couplet of writing and reading of very interesting details, see text.
修筑长城是历代封建王朝各种劳役中最为残酷、最具代表性的一项劳役。	xīuzhúchángchéngshìlìdàifēngjiànwángzhāogèzhǒngláoyìzhōngzùiwèicánkù、zùijùdàibiǎoxìngdeyīxiàngláoyì。	The construction of the Great Wall is a feudal dynasties all kinds of labor in the most brutal, the most representative of a labor.
从春秋到明朝，近两千年漫长的岁月中，长城屡修屡补，强征了无数民夫，任何时候都可能产生像孟姜女那样的遭遇。	cóngchūnqīudàomíngzhāo，jìnliǎngqiānniánmànchángdesùiyuèzhōng，chángchénglv̌xīulv̌bǔ，qiángzhēnglewúshùmínfū，rènhéshíhòudūkěnéngchǎnshēngxiàngmèngjiāngnv̌nàyángdezāoyù。	From the Spring and Autumn Period to the Ming Dynasty, nearly two thousand long years, the Great Wall repeatedly repeatedly repair patch, forced recruitment of numerous porters at any time may have experienced that kind of like a fairy.
因此，孟姜女和范喜良是劳动人民在承受无限度的劳役中塑造出来的两个典型人物，表现了千百万下层百姓被劳役逼得家破人亡、妻离子散的灾难。	yīncǐ，mèngjiāngnv̌héfànxǐliángshìláodòngrénmínzàichéngshòuwúxiàndùdeláoyìzhōngsùzàochūláideliǎnggèdiǎnxíngrénwù，biǎoxiànleqiānbǎiwànxiàcéngbǎixìngbèiláoyìbīdéjiāpòrénwáng、qīlízǐsàndezāinán。	Therefore, Meng Jiang and Fan Xiliang is shaped by the working people in bear unlimited servitude in two typical characters, the performance of the underlying millions of people were forced to labor bereaved wives and children of the disaster.
这个民间故事，是对封建统治阶级暴虐行为的控诉，也是对被奴役者不畏强暴、坚贞不屈精神的歌颂。	zhègèmínjiāngùshì，shìdùifēngjiàntǒngzhìjiējíbàonvèxíngwèidekòngsù，yěshìdùibèinúyìzhěbùwèiqiángbào、jiānzhēnbùqūjīngshéndegēsòng。	This folk tale, is an indictment of the feudal ruling class brutality, but also on those who enslaved brute force, unyielding spirit of praise.
这个故事是不是听起来有点难度呢？	zhègègùshìshìbùshìtīngqǐláiyǒudiǎnnándùní？	The story is a bit more difficult than it sounds?
因为里面充满了四字成语、词语。	yīnwèilǐmiànchōngmǎnlesìzìchéngyǔ、cíyǔ。	Because it is full of four-character idioms, words.
不用担心，在本期节目的文本里我都已做了详细注解。	bùyòngdànxīn，zàiběnqījiémùdewénběnlǐwǒdūyǐzuòlexiángxìzhùjiě。	Do not worry, in the text of this program where I have made a detailed comment.
不用死记硬背，只要你反复多听几遍并参照文本进行深层学习，那你就能轻松掌握并自然而然地运用在你的生活中。	bùyòngsǐjìyìngbèi，zhǐyàonǐfǎnfùduōtīngjībiànbìngcānzhàowénběnjìnxíngshēncéngxuéxí，nànǐjìunéngqīngsōngzhǎngwòbìngzìránérrándìyùnyòngzàinǐdeshēnghuózhōng。	Not rote, as long as you repeatedly listen to a few times for deep learning and reference text, you can easily grasp and naturally apply in your life.
感谢你选择《自然而然说中文》作为每周陪伴你学习中文的忠实伙伴！	gǎnxiènǐxuǎnzé《zìránérránshuōzhōngwén》zuòwèiměizhōupéibànnǐxuéxízhōngwéndezhōngshíhuǒbàn！	Thank you for choosing naturally speak Chinese to accompany you as a loyal partner each week to learn Chinese!
我们的节目还很年轻，才开播三个月左右的时间，因此听众还不多。	wǒmendejiémùhuánhěnniánqīng，cáikāibōsāngèyuèzuǒyòudeshíjiān，yīncǐtīngzhònghuánbùduō。	Our program is still very young, he began broadcasting three months or so, so the audience is not much.
如果你喜欢我们的节目并感恩这份花费我很多时间和心血提供的学习中文的免费资源，麻烦你现在就去关注我们的 facebook 主页、S potify，在 iTunes、S titcher 上给我们一个五星评价，这绝不是为了满足我的虚荣心，而是为了帮助更多想提高中文听说能力的朋友们发现我们的节目，因为只有在这些平台上互动多的页面才能被更多的人看见。	rúguǒnǐxǐhuānwǒmendejiémùbìnggǎnēnzhèfènhuāfèiwǒhěnduōshíjiānhéxīnxiětígōngdexuéxízhōngwéndemiǎnfèizīyuán，máfánnǐxiànzàijìuqùguānzhùwǒmende facebook zhǔyè、S potify，zài iTunes、S titcher shànggěiwǒmenyīgèwǔxīngpíngjià，zhèjuébùshìwèilemǎnzúwǒdexūróngxīn，érshìwèilebāngzhùgèngduōxiǎngtígāozhōngwéntīngshuōnénglìdepéngyǒumenfāxiànwǒmendejiémù，yīnwèizhǐyǒuzàizhèxiēpíngtáishànghùdòngduōdeyèmiàncáinéngbèigèngduōderénkànjiàn。	If you like our program and I spent Thanksgiving this free resource to learn Chinese a lot of time and effort to provide the trouble you go now focus on our facebook page, S potify, to us on iTunes, S titcher a five-star rating, this is not to satisfy my vanity, but to help more Chinese want to improve listening and speaking friends find our program, because only interact with many pages can be seen more people on these platforms.
对你来说也许只是随手的一个点赞和好评，但对这个节目来说帮助却是巨大的！	dùinǐláishuōyěxǔzhǐshìsúishǒudeyīgèdiǎnzànhéhǎopíng，dàndùizhègèjiémùláishuōbāngzhùquèshìjùdàde！	For you maybe just pick a point of praise and praise, but this program is to help it is great!
只有这样，这个免费资源才能持续下去，才能走得更远。	zhǐyǒuzhèyáng，zhègèmiǎnfèizīyuáncáinéngchíxùxiàqù，cáinéngzǒudégèngyuǎn。	Only in this way, the free resources to continue to go further.
让我们一起来维护《自然而然说中文》，因为它是属于你们的！	ràngwǒmenyīqǐláiwéihù《zìránérránshuōzhōngwén》，yīnwèitāshìshǔyúnǐmende！	Let us work together to maintain, said the Chinese natural because it belongs to you!
也希望越来越多的人加入我们这个大家庭！	yěxīwàngyuèláiyuèduōderénjiārùwǒmenzhègèdàjiātíng！	I hope more and more people to join our family!
感谢你的举手之劳！	gǎnxiènǐdejǔshǒuzhīláo！	Thank you for your lifting a finger!
本期节目的讨论话题是：你最喜欢孟姜女身上的哪个特质？	běnqījiémùdetǎolùnhuàtíshì：nǐzùixǐhuānmèngjiāngnv̌shēnshàngdenǎgètèzhí？	Discuss topics of this program is: What is your favorite character in a fairy body?
她的聪慧，忠诚，宁死不屈……？	tādecōnghùi，zhōngchéng，níngsǐbùqū……？	Her wit, loyalty, rather die than surrender ......?
欢迎来我们的 twitter 等社交平台告诉我你的答案。	huānyíngláiwǒmende twitter děngshèjiāopíngtáigàosùwǒnǐdedáàn。	Welcome to our twitter and other social networking platforms to tell me what to say.
下周我们会说一个网络流行语。	xiàzhōuwǒmenhùishuōyīgèwǎngluòlíuxíngyǔ。	Next week we will say that a network buzzwords.
喜欢这一主题的朋友千万别错过了！	xǐhuānzhèyīzhǔtídepéngyǒuqiānwànbiécuòguòle！	Like the theme of friends do not miss out!
感谢你的收听，祝你周末愉快！	gǎnxiènǐdeshōutīng，zhùnǐzhōumòyúkuài！	Thank you for listening, I wish you a nice weekend!
我们下周不见不散！	wǒmenxiàzhōubùjiànbùsàn！	Next week we are there or be square!
我招谁惹谁了？	wǒzhāoshúirěshúile？	I bother anyone?
真是躺着也中枪！	zhēnshìtǎngzháoyězhōngqiāng！	Really lying also in the gun!
别担心，没有人真的中枪！	biédànxīn，méiyǒurénzhēndezhōngqiāng！	Do not worry, no one really shot!
想了解这个网络流行语的意思？	xiǎnglejiězhègèwǎngluòlíuxíngyǔdeyìsī？	For this network buzzwords mean?
一起进入今天的节目吧！	yīqǐjìnrùjīntiāndejiémùba！	Today's program went into it!
您正在收听的是：《自然而然说中文》，第十九期：网络流行语——躺着也中枪。	nínzhèngzàishōutīngdeshì：《zìránérránshuōzhōngwén》，dìshíjǐuqī：wǎngluòlíuxíngyǔ——tǎngzháoyězhōngqiāng。	You're listening to: naturally speak Chinese, XIX: Internet catchphrase - lying in the gun.
我是佳佳，你好吗？	wǒshìjiājiā，nǐhǎoma？	I'm Allison, how are you?
很高兴又与你在新的一期节目中相见！	hěngāoxīngyòuyǔnǐzàixīndeyīqījiémùzhōngxiāngjiàn！	Glad to meet with you in a new show!
节目一开始，首先要感谢那些参与了本次我们 facebook 页面投票的朋友们，大多数人都选择了不需要文本里拼音的选项。	jiémùyīkāishǐ，shǒuxiānyàogǎnxiènàxiēcānyǔleběncìwǒmen facebook yèmiàntóupiàodepéngyǒumen，dàduōshùréndūxuǎnzélebùxūyàowénběnlǐpīnyīndexuǎnxiàng。	Beginning of the program, first of all to thank those friends who participated in this vote our facebook page, choose the option most people do not need to text in Pinyin.
因此，从本期节目开始，我们将会取消拼音。	yīncǐ，cóngběnqījiémùkāishǐ，wǒmenjiānghùiqǔxiāopīnyīn。	Therefore, from the beginning of this program, we will cancel the alphabet.
不用担心，一些需要强调、易出错的拼音我还是会在文本里进行注释。	bùyòngdànxīn，yīxiēxūyàoqiángdiào、yìchūcuòdepīnyīnwǒhuánshìhùizàiwénběnlǐjìnxíngzhùshì。	Do not worry, some of the need to emphasize, error-prone pinyin I will be annotated in the text.
依照惯例，我为大家准备了本期节目的文本，也就是节目的 PDF格式，你可以去我们的 facebook 主页, wordpress 博客，twitter 及pinterest 免费下载。	yīzhàoguànlì，wǒwèidàjiāzhǔnbèileběnqījiémùdewénběn，yějìushìjiémùde PDFgéshì，nǐkěyǐqùwǒmende facebook zhǔyè, wordpress bókè，twitter jípinterest miǎnfèixiàzài。	By convention, I am ready for everyone text of this program, which is the program's PDF format, you can go to our facebook page, wordpress blog, twitter and pinterest free download.
在第九期节目中，我们说了网络流行语打酱油，你还记得它的意思和用法吗？	zàidìjǐuqījiémùzhōng，wǒmenshuōlewǎngluòlíuxíngyǔdǎjiàngyóu，nǐhuánjìdétādeyìsīhéyòngfǎma？	In the ninth program, we say that the network buzzwords soy sauce , do you remember what it means and use it?
我在文本里的这里做了链接，以方便你收听或复习。	wǒzàiwénběnlǐdezhèlǐzuòleliànjiē，yǐfāngbiànnǐshōutīnghuòfùxí。	I'm here to do in the text of the link, allowing you to listen to or review.
千万别忘了重复收听是帮助你形成长时记忆的关键！	qiānwànbiéwànglezhòngfùshōutīngshìbāngzhùnǐxíngchéngchángshíjìyìdeguānjiàn！	Do not forget to repeated listening, is to help you develop long-term memory is the key!
今天，我们要说的是 2012 年的十大网络流行语之一——躺着也中枪。	jīntiān，wǒmenyàoshuōdeshì 2012 niándeshídàwǎngluòlíuxíngyǔzhīyī——tǎngzháoyězhōngqiāng。	Today, we are saying is one of the top ten buzzwords network in 2012 - also in the gun lying.
直到现在，人们在生活中也常常用到它。	zhídàoxiànzài，rénmenzàishēnghuózhōngyěchángchángyòngdàotā。	Until now, people in life are often used in it.
一. 躺着也中枪的字面意思。	yī. tǎngzháoyězhōngqiāngdezìmiànyìsī。	A. Lie also in the gun, the literal meaning.
我们先来逐字解释。	wǒmenxiānláizhúzìjiěshì。	Let's take a literal interpretation.
躺着也中枪，躺是一个动词，是一个左右结构的形声字。	tǎngzháoyězhōngqiāng，tǎngshìyīgèdòngcí，shìyīgèzuǒyòujiégōudexíngshēngzì。	Lying in the gun, lie down is a verb, a phonetic word structure around.
形声字是汉字最常见的造字形式，由两个文或字复合成体。	xíngshēngzìshìhànzìzùichángjiàndezàozìxíngshì，yóuliǎnggèwénhuòzìfùhéchéngtǐ。	Phonogram coinage is the most common form of characters, or a composite of two words into the text body.
它由表示意义范畴的意符（即形旁）和表示声音类别的声符（即声旁）组合而成。	tāyóubiǎoshìyìyìfànchóudeyìfú（jíxíngpáng）hébiǎoshìshēngyīnlèibiédeshēngfú（jíshēngpáng）zǔhéérchéng。	It is intended that the scope of meaning represented character (i.e. shaped side) representing the phonetic sound types (i.e., phonetic) combination.
躺的部首和形旁是身字旁，也就是说，躺这个字的含义与身体相关。	tǎngdebùshǒuhéxíngpángshìshēnzìpáng，yějìushìshuō，tǎngzhègèzìdehányìyǔshēntǐxiāngguān。	Lie down next to the radicals and the body shape is next to the word, that is to say, lie down, meaning associated with the word body.
再看它的右边尚，它是躺字的声旁但同时也表义。	zàikàntādeyòubiānshàng，tāshìtǎngzìdeshēngpángdàntóngshíyěbiǎoyì。	Look at the right side of it yet, it is lying, next to the sound of the word but also semantic.
尚本义为摊开。	shàngběnyìwèitānkāi。	Still original meaning is spread out.
综上所述，躺就是身体摊开、身体横倒的意思；第二个字着，在这里表示动作或状态的持续。	zòngshàngsuǒshù，tǎngjìushìshēntǐtānkāi、shēntǐhéngdǎodeyìsī；dìèrgèzìzháo，zàizhèlǐbiǎoshìdòngzuòhuòzhuàngtàidechíxù。	To sum up, lie down is the body spread, inverted cross body means; the second word with here means continuing action or state.
这个字我已在 7 月 16 日的每日积累栏目中详细说过，因此就不再赘述1了。	zhègèzìwǒyǐzài 7 yuè 16 rìdeměirìjīlèilánmùzhōngxiángxìshuōguò，yīncǐjìubùzàizhùishù1le。	The word I have said in the daily accumulation of detail columns of July 16, so it will not go 1 up.
为方便你查阅，这里我也放上了链接。	wèifāngbiànnǐcháyuè，zhèlǐwǒyěfàngshàngleliànjiē。	To facilitate your review, I also put a link here.
躺着就是指身体横倒的这样一种状态。	tǎngzháojìushìzhǐshēntǐhéngdǎodezhèyángyīzhǒngzhuàngtài。	Lying refers to a state of the body turned sideways.
比如，躺着休息，躺着看书等；第三个字也是一个副词，是指同样的意思。	bǐrú，tǎngzháoxīuxī，tǎngzháokànshūděng；dìsāngèzìyěshìyīgèfùcí，shìzhǐtóngyángdeyìsī。	For example, to rest lying down, lying down reading and the like; third word is also is an adverb, it refers to the same means.
比如，你是《自然而然说中文》大家庭的一员，我也是。	bǐrú，nǐshì《zìránérránshuōzhōngwén》dàjiātíngdeyīyuán，wǒyěshì。	For example, you are a naturally speak Chinese, family, me too.
副词通常用来修饰动词。	fùcítōngchángyòngláixīushìdòngcí。	Often used to modify Adverb Verb.
常见的副词还有：都、又、才、非常、最、格外等；第四个字中是一个多音字，在读第四声时作动词。	chángjiàndefùcíhuányǒu：dū、yòu、cái、fēicháng、zùi、géwàiděng；dìsìgèzìzhōngshìyīgèduōyīnzì，zàidúdìsìshēngshízuòdòngcí。	Common adverbs are: all, and, just, very, best, especially so on; the first four words, is a multi-tone word, when read as a verb in the fourth tone.
在这个词里的意思是：正对上，正好符合；最后一个字枪是名词，在这里是指利用火药气体压力抛射弹头的武器；中枪字面意义指被枪打中，被子弹射中。	zàizhègècílǐdeyìsīshì：zhèngdùishàng，zhènghǎofúhé；zùihòuyīgèzìqiāngshìmíngcí，zàizhèlǐshìzhǐlìyònghuǒyàoqìtǐyālìpāoshèdàntóudewǔqì；zhōngqiāngzìmiànyìyìzhǐbèiqiāngdǎzhōng，bèizǐdànshèzhōng。	The meaning of the word in that: on the positive, fits; the last word gun is a noun, in this case refers to the use of gunpowder gas pressure projectile weapons warheads; the gun literally refers to been shot, bullet quilt .
躺着也中枪从字面上来看就是说一个人在躺着的状态下也还是中枪了。	tǎngzháoyězhōngqiāngcóngzìmiànshàngláikànjìushìshuōyīgèrénzàitǎngzháodezhuàngtàixiàyěhuánshìzhōngqiāngle。	Lying in the gun literally means that a person in a state of lying still in the gun.
二.网络流行语躺着也中枪真正意义和用法。	èr.wǎngluòlíuxíngyǔtǎngzháoyězhōngqiāngzhēnzhèngyìyìhéyòngfǎ。	II. Network buzzwords lying also in the gun, the true meaning and usage.
接下来，我们来看这个短语的真正意义和用法。	jiēxiàlái，wǒmenláikànzhègèduǎnyǔdezhēnzhèngyìyìhéyòngfǎ。	Next, we look at the true meaning and usage of this phrase.
作为常识或者我们也经常在电影中看到这样的情景：当歹徒在人群中拿枪威胁大家时，人们都会不自觉地压低身体，蹲下或趴下以减少被子弹击中的可能性。	zuòwèichángshìhuòzhěwǒmenyějīngchángzàidiànyǐngzhōngkàndàozhèyángdeqíngjǐng：dāngdǎitúzàirénqúnzhōngnáqiāngwēixiédàjiāshí，rénmendūhùibùzìjuédìyādīshēntǐ，dūnxiàhuòpāxiàyǐjiǎnshǎobèizǐdànjízhōngdekěnéngxìng。	As common sense or we often see such a scene in the movie: When criminals with guns threatened everyone in the crowd, people will unconsciously down the body, squat or lie down in order to reduce the possibility of being hit by bullets.
那么一个人如果连躺着也中枪了，说明什么？	nàyāoyīgèrénrúguǒliántǎngzháoyězhōngqiāngle，shuōmíngshíyāo？	So even if a person lying in the gun, what explanation?
是不是说明一种倒霉和无辜的状态？	shìbùshìshuōmíngyīzhǒngdǎoméihéwúgūdezhuàngtài？	It is not describe a hapless and innocent state?
没错！	méicuò！	Yes!
躺着也中枪就是指自己已经很低调了，没招惹别人却莫名其妙地被他人言语攻击了。	tǎngzháoyězhōngqiāngjìushìzhǐzìjǐyǐjīnghěndīdiàole，méizhāorěbiérénquèmòmíngqímiàodìbèitārényányǔgōngjíle。	Lying in the gun means that they have a very low key, but somehow did not provoke others by others verbal attack.
也延伸为无缘无故2受到牵连的意思。	yěyánshēnwèiwúyuánwúgù2shòudàoqiānliándeyìsī。	2 is also reason to extend the meaning of the implicated.
三.躺着也中枪的出处。	sān.tǎngzháoyězhōngqiāngdechūchù。	III. Lie also in the gun, the source.
这个有意思的流行用语出自于哪里呢？	zhègèyǒuyìsīdelíuxíngyòngyǔchūzìyúnǎlǐní？	Where is this interesting buzz words comes from it?
我能找到最多的说法是说它是周星驰的电影《逃学威龙》里的台词。	wǒnéngzhǎodàozùiduōdeshuōfǎshìshuōtāshìzhōuxīngchídediànyǐng《táoxuéwēilóng》lǐdetáicí。	I can find most of the argument is that it is Stephen Chow's film Fight Back to School in the lines.
我本想找到这个片断放到节目中，可我在《逃学威龙》系列的三部电影中都没有找到它的踪迹。	wǒběnxiǎngzhǎodàozhègèpiànduànfàngdàojiémùzhōng，kěwǒzài《táoxuéwēilóng》xìlièdesānbùdiànyǐngzhōngdūméiyǒuzhǎodàotādezōngjī。	I wanted to find this piece into the program, but I did not find traces of it in three movie Fight Back to School series.
所以，我认为这种说法有误传的可能性，亦或是我所看的并不是完整版本。	suǒyǐ，wǒrènwèizhèzhǒngshuōfǎyǒuwùchuándekěnéngxìng，yìhuòshìwǒsuǒkàndebìngbùshìwánzhěngbǎnběn。	So, I think this argument has the possibility of misinformation about, or is not a complete version of what I see.
